row,SCHNAME,zipcode,area,zone,type,latitude,longitude,School,Rank2017,IB,IP,SAP,Girls,Boys,Co-ed,O-level track,PSLE2017 Cut Off,GenderMix
58,HAI SING CATHOLIC SCHOOL,519421,PASIR RIS,East ,Government-Aided,1.3739,103.9549,Hai Sing Catholic School,65,N,N,N,N,N,Y,,220,CO-ED
97,MAYFLOWER SECONDARY SCHOOL,569384,ANG MO KIO,South,Government,1.3689,103.8349,Mayflower Secondary School,65,N,N,N,N,N,Y,,220,CO-ED
115,WEST SPRING SECONDARY SCHOOL,677737,BUKIT PANJANG,West ,Government,1.3872,103.7599,West Spring Secondary School,67,N,N,N,N,N,Y,,219,CO-ED
71,AHMAD IBRAHIM SECONDARY SCHOOL,768928,YISHUN,North,Government,1.4367,103.8296,Ahmad Ibrahim Secondary School,68,N,N,N,N,N,Y,,218,CO-ED
103,PEI HWA SECONDARY SCHOOL,797702,SENG KANG,North,Government,1.3907,103.8771,Pei Hwa Secondary School,69,N,N,N,N,N,Y,,217,CO-ED
32,PASIR RIS SECONDARY SCHOOL,529400,TAMPINES,East ,Government,1.3548,103.9477,Pasir Ris Secondary School,70,N,N,N,N,N,Y,,216,CO-ED
102,PASIR RIS CREST SECONDARY SCHOOL,518934,PASIR RIS,East ,Government,1.3735,103.9597,Pasir Ris Crest Secondary School,71,N,N,N,N,N,Y,,215,CO-ED
114,UNITY SECONDARY SCHOOL,689143,CHOA CHU KANG,West ,Government,1.3991,103.7458,Unity Secondary School,71,N,N,N,N,N,Y,,215,CO-ED
13,DEYI SECONDARY SCHOOL,569277,ANG MO KIO,North,Government,1.3671,103.8528,Deyi Secondary School,73,N,N,N,N,N,Y,,213,CO-ED
4,BEDOK VIEW SECONDARY SCHOOL,469293,BEDOK,East ,Government,1.3248,103.9444,Bedok View Secondary School,74,N,N,N,N,N,Y,,212,CO-ED
10,CHUA CHU KANG SECONDARY SCHOOL,688845,CHOA CHU KANG,West ,Government,1.3829,103.7519,Chua Chu Kang Secondary School,74,N,N,N,N,N,Y,,212,CO-ED
